n_classifiers,n_nodes,accuracy
5,"[11, 15, 11, 17, 21]",0.7032172015196831
10,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.6906070649098699
25,"[11, 15, 7, 7, 15, 7, 15, 11, 11, 7, 17, 29, 21, 11, 11, 13, 11, 17, 13, 11, 11, 13, 15, 21, 7]",0.7166760973243876
50,"[15, 11, 17, 7, 11, 11, 11, 13, 11, 11, 15, 11, 15, 15, 11, 11, 21, 7, 23, 15, 13, 7, 41, 17, 11, 27, 17, 11, 11, 11, 7, 17, 7, 23, 7, 11, 15, 21, 11, 7, 17, 13, 11, 11, 11, 7, 23, 7, 13, 11]",0.7166760973243876
75,"[7, 11, 23, 7, 11, 17, 13, 7, 11, 15, 11, 21, 17, 13, 7, 23, 7, 11, 11, 15, 29, 21, 11, 11, 17, 11, 17, 15, 11, 11, 41, 15, 7, 15, 23, 21, 7, 7, 15, 7, 7, 11, 11, 11, 21, 7, 11, 15, 23, 11, 23, 11, 11, 11, 7, 17, 13, 17, 13, 11, 11, 11, 11, 11, 11, 11, 7, 7, 11, 11, 17, 7, 11, 11, 11]",0.7154635841888287
100,"[7, 21, 15, 11, 11, 11, 7, 27, 13, 7, 11, 23, 7, 7, 11, 11, 17, 7, 23, 17, 7, 17, 15, 7, 13, 13, 15, 17, 11, 11, 15, 21, 17, 11, 41, 21, 17, 29, 11, 15, 11, 11, 11, 11, 11, 7, 13, 23, 11, 11, 11, 11, 11, 7, 11, 7, 11, 11, 11, 11, 7, 11, 11, 17, 11, 7, 21, 21, 23, 15, 11, 11, 7, 15, 11, 29, 7, 23, 11, 13, 13, 11, 7, 7, 11, 17, 11, 13, 11, 15, 7, 17, 17, 11, 11, 17, 15, 7, 7, 11]",0.7154635841888287
5,"[15, 11, 7, 7, 7]",0.699822164740118
10,"[7, 7, 7, 7, 7, 15, 11, 7, 7, 7]",0.712796055290599
25,"[15, 7, 7, 7, 7, 7, 15, 15, 15, 7, 7, 15, 7, 15, 7, 7, 7, 7, 7, 7, 7, 15, 11, 7, 7]",0.7239915932422601
50,"[7, 7, 7, 11, 7, 7, 7, 7, 7, 15, 15, 7, 15, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 15, 15, 7, 15, 7, 7, 7, 15, 15, 15, 7, 7, 7, 7, 11, 11, 7, 7, 15, 7, 7, 7, 7, 7, 7]",0.7241936787648533
