n_classifiers,n_nodes,accuracy
5,"[11785, 11317, 11519, 11365, 11571]",0.7097647724517016
10,"[11369, 11485, 11293, 11271, 11597, 11501, 11847, 11433, 11531, 11595]",0.7177673591463908
25,"[11657, 11487, 11365, 11439, 11491, 11287, 11443, 11403, 11521, 11481, 11451, 11581, 11603, 11683, 11427, 11457, 11687, 11563, 11485, 11429, 11301, 11537, 11385, 11447, 11455]",0.7330854417589524
50,"[11399, 11549, 11433, 11453, 11319, 11575, 11639, 11547, 11663, 11595, 11363, 11663, 11175, 11385, 11467, 11577, 11195, 11377, 11185, 11607, 11491, 11333, 11147, 11261, 11597, 11635, 11391, 11533, 11203, 11523, 11463, 11463, 11475, 11127, 11295, 11331, 11521, 11519, 11689, 11155, 11495, 11535, 11437, 11311, 11687, 11215, 11551, 11363, 11483, 11695]",0.7388246706005982
75,"[11723, 11349, 11551, 11637, 11665, 11403, 11295, 11511, 11695, 11385, 11283, 11569, 11401, 11533, 11299, 11499, 11543, 11499, 11493, 11521, 11579, 11395, 11739, 11479, 11391, 11423, 11609, 11637, 11483, 11617, 11587, 11551, 11547, 11513, 11575, 11399, 11399, 11373, 11559, 11581, 11443, 11669, 11583, 11455, 11669, 11583, 11497, 11469, 11201, 11595, 11429, 11437, 11645, 11391, 11529, 11627, 11457, 11525, 11345, 11559, 11657, 11439, 11525, 11387, 11659, 11713, 11521, 11375, 11435, 11351, 11385, 11281, 11419, 11471, 11495]",0.7401988521542316
100,"[11381, 11441, 11393, 11581, 11455, 11419, 11485, 11383, 11421, 11427, 11535, 11351, 11483, 11733, 11683, 11581, 11587, 11769, 11677, 11551, 11575, 11331, 11269, 11483, 11659, 11501, 11663, 11417, 11563, 11495, 11521, 11511, 11467, 11489, 11415, 11745, 11521, 11729, 11607, 11339, 11503, 11347, 11311, 11543, 11419, 11237, 11505, 11487, 11575, 11459, 11295, 11397, 11443, 11661, 11573, 11507, 11585, 11485, 11275, 11531, 11573, 11341, 11691, 11649, 11305, 11629, 11451, 11423, 11609, 11255, 11827, 11479, 11703, 11285, 11455, 11455, 11661, 11571, 11511, 11515, 11581, 11637, 11835, 11283, 11355, 11473, 11353, 11575, 11319, 11445, 11605, 11607, 11471, 11337, 11461, 11353, 11305, 11505, 11435, 11327]",0.7397138469000081
5,"[11581, 11377, 11585, 11455, 11599]",0.7069355751353973
10,"[11543, 11493, 11425, 11461, 11449, 11569, 11553, 11447, 11327, 11481]",0.7154231670843101
25,"[11529, 11661, 11411, 11743, 11415, 11591, 11715, 11709, 11139, 11377, 11441, 11443, 11483, 11441, 11561, 11629, 11367, 11367, 11617, 11393, 11545, 11369, 11371, 11617, 11557]",0.7340554522673995
50,"[11421, 11309, 11469, 11319, 11377, 11421, 11393, 11511, 11357, 11541, 11635, 11447, 11203, 11515, 11559, 11527, 11379, 11649, 11529, 11811, 11745, 11251, 11579, 11639, 11439, 11317, 11437, 11551, 11307, 11473, 11451, 11271, 11439, 11485, 11543, 11361, 11669, 11467, 11431, 11467, 11345, 11513, 11469, 11475, 11531, 11505, 11749, 11287, 11379, 11533]",0.7374909061514833
75,"[11453, 11363, 11737, 11549, 11443, 11321, 11275, 11457, 11683, 11553, 11459, 11491, 11463, 11589, 11459, 11445, 11605, 11517, 11497, 11383, 11331, 11383, 11491, 11329, 11647, 11533, 11689, 11611, 11679, 11201, 11217, 11743, 11381, 11501, 11683, 11663, 11587, 11295, 11541, 11633, 11575, 11341, 11419, 11377, 11521, 11505, 11437, 11469, 11411, 11387, 11477, 11561, 11623, 11357, 11537, 11551, 11445, 11427, 11431, 11367, 11365, 11373, 11569, 11457, 11641, 11443, 11579, 11521, 11449, 11307, 11565, 11583, 11343, 11427, 11571]",0.7416942850214211
100,"[11577, 11459, 11343, 11389, 11245, 11473, 11575, 11465, 11437, 11419, 11255, 11599, 11511, 11539, 11371, 11517, 11661, 11457, 11439, 11525, 11557, 11613, 11513, 11315, 11683, 11475, 11219, 11209, 11509, 11375, 11433, 11435, 11493, 11649, 11593, 11471, 11365, 11283, 11399, 11477, 11381, 11607, 11409, 11515, 11413, 11493, 11537, 11485, 11381, 11421, 11435, 11561, 11435, 11505, 11523, 11517, 11563, 11425, 11291, 11635, 11561, 11485, 11477, 11697, 11485, 11653, 11621, 11651, 11361, 11503, 11447, 11363, 11505, 11529, 11557, 11447, 11739, 11391, 11303, 11927, 11343, 11475, 11575, 11647, 11457, 11771, 11615, 11399, 11701, 11457, 11591, 11451, 11375, 11447, 11669, 11207, 11241, 11313, 11421, 11377]",0.7411688626626789
5,"[11381, 11499, 11663, 11563, 11599]",0.7064505698811737
10,"[11367, 11557, 11341, 11445, 11401, 11435, 11357, 11623, 11617, 11423]",0.7139681513216393
25,"[11331, 11493, 11399, 11459, 11463, 11411, 11251, 11615, 11807, 11371, 11419, 11433, 11401, 11411, 11617, 11343, 11547, 11647, 11549, 11409, 11517, 11453, 11443, 11499, 11505]",0.732802522027322
50,"[11509, 11409, 11447, 11419, 11583, 11411, 11743, 11487, 11521, 11397, 11473, 11429, 11325, 11469, 11515, 11449, 11453, 11445, 11485, 11337, 11561, 11501, 11565, 11449, 11675, 11597, 11317, 11413, 11573, 11529, 11495, 11555, 11557, 11649, 11391, 11361, 11481, 11577, 11427, 11525, 11473, 11289, 11527, 11545, 11537, 11511, 11437, 11357, 11565, 11297]",0.7364804785385175
75,"[11491, 11603, 11409, 11381, 11635, 11441, 11595, 11613, 11463, 11551, 11369, 11597, 11457, 11575, 11313, 11415, 11475, 11303, 11489, 11463, 11409, 11365, 11501, 11201, 11649, 11487, 11543, 11733, 11349, 11511, 11427, 11267, 11565, 11593, 11363, 11503, 11461, 11607, 11247, 11425, 11463, 11505, 11447, 11601, 11557, 11299, 11661, 11571, 11661, 11535, 11301, 11867, 11473, 11649, 11425, 11517, 11335, 11539, 11543, 11571, 11793, 11631, 11697, 11639, 11399, 11413, 11463, 11203, 11483, 11575, 11565, 11523, 11615, 11563, 11423]",0.7415326166033466
100,"[11421, 11469, 11329, 11649, 11645, 11401, 11503, 11293, 11449, 11499, 11419, 11373, 11471, 11549, 11579, 11165, 11471, 11511, 11321, 11525, 11569, 11625, 11411, 11689, 11421, 11671, 11695, 11353, 11545, 11801, 11505, 11481, 11523, 11467, 11619, 11377, 11727, 11435, 11289, 11495, 11407, 11541, 11405, 11495, 11675, 11493, 11599, 11531, 11455, 11463, 11575, 11611, 11597, 11425, 11429, 11467, 11549, 11783, 11327, 11763, 11347, 11553, 11499, 11297, 11759, 11507, 11753, 11417, 11379, 11517, 11797, 11653, 11409, 11537, 11305, 11529, 11231, 11303, 11593, 11507, 11503, 11787, 11631, 11661, 11373, 11563, 11301, 11593, 11301, 11581, 11385, 11373, 11377, 11351, 11495, 11245, 11265, 11239, 11441, 11441]",0.7429472152614987
5,"[11515, 11235, 11507, 11687, 11399]",0.7082693395845122
10,"[11441, 11533, 11471, 11505, 11705, 11455, 11487, 11637, 11575, 11581]",0.717524856519279
25,"[11443, 11443, 11401, 11443, 11649, 11711, 11619, 11647, 11605, 11467, 11451, 11377, 11735, 11509, 11517, 11535, 11341, 11529, 11553, 11615, 11471, 11385, 11463, 11347, 11561]",0.7336512812222132
50,"[11315, 11649, 11625, 11603, 11431, 11593, 11443, 11673, 11365, 11415, 11693, 11451, 11615, 11635, 11695, 11545, 11473, 11413, 11493, 11577, 11609, 11357, 11435, 11559, 11629, 11405, 11299, 11683, 11389, 11589, 11337, 11325, 11745, 11503, 11473, 11229, 11607, 11421, 11355, 11717, 11609, 11475, 11271, 11539, 11679, 11407, 11639, 11651, 11395, 11631]",0.7397946811090453
75,"[11369, 11787, 11577, 11595, 11445, 11315, 11655, 11521, 11721, 11497, 11269, 11467, 11605, 11509, 11507, 11567, 11589, 11485, 11337, 11457, 11257, 11349, 11515, 11415, 11469, 11429, 11685, 11595, 11231, 11349, 11731, 11407, 11359, 11271, 11489, 11461, 11471, 11375, 11359, 11451, 11521, 11573, 11601, 11321, 11457, 11699, 11585, 11549, 11637, 11673, 11523, 11439, 11491, 11591, 11273, 11563, 11449, 11783, 11373, 11465, 11591, 11673, 11489, 11283, 11579, 11401, 11401, 11443, 11539, 11549, 11597, 11329, 11563, 11601, 11145]",0.7399967666316385
100,"[11683, 11667, 11447, 11397, 11445, 11409, 11663, 11579, 11513, 11477, 11535, 11269, 11413, 11483, 11461, 11323, 11221, 11545, 11365, 11523, 11471, 11545, 11343, 11533, 11441, 11655, 11441, 11621, 11639, 11699, 11709, 11583, 11501, 11557, 11487, 11469, 11501, 11405, 11439, 11409, 11363, 11423, 11471, 11371, 11613, 11593, 11497, 11559, 11419, 11619, 11475, 11445, 11423, 11337, 11463, 11523, 11571, 11393, 11413, 11445, 11473, 11493, 11709, 11671, 11493, 11271, 11643, 11333, 11559, 11581, 11219, 11555, 11569, 11471, 11567, 11599, 11353, 11689, 11485, 11393, 11669, 11481, 11381, 11341, 11701, 11555, 11409, 11449, 11457, 11633, 11315, 11641, 11327, 11685, 11589, 11337, 11263, 11647, 11305, 11605]",0.7389863390186727
5,"[11495, 11569, 11533, 11741, 11341]",0.7075418317031767
10,"[11401, 11583, 11267, 11381, 11491, 11337, 11431, 11373, 11713, 11463]",0.7137660657990461
25,"[11547, 11577, 11439, 11443, 11373, 11613, 11329, 11463, 11505, 11805, 11463, 11445, 11531, 11587, 11565, 11409, 11507, 11647, 11369, 11381, 11453, 11699, 11497, 11369, 11841]",0.7332875272815456
50,"[11633, 11517, 11495, 11459, 11399, 11507, 11545, 11507, 11343, 11511, 11581, 11355, 11579, 11459, 11603, 11595, 11573, 11587, 11357, 11241, 11289, 11657, 11355, 11565, 11533, 11429, 11639, 11515, 11677, 11403, 11191, 11413, 11549, 11339, 11783, 11563, 11435, 11827, 11415, 11459, 11673, 11441, 11765, 11651, 11417, 11511, 11365, 11483, 11387, 11649]",0.7387034192870423
75,"[11659, 11485, 11343, 11325, 11459, 11599, 11353, 11691, 11631, 11343, 11353, 11327, 11443, 11621, 11501, 11575, 11485, 11415, 11819, 11535, 11341, 11579, 11621, 11333, 11261, 11395, 11487, 11477, 11473, 11479, 11621, 11435, 11453, 11563, 11561, 11597, 11587, 11553, 11507, 11517, 11619, 11653, 11319, 11419, 11647, 11643, 11329, 11611, 11399, 11485, 11587, 11551, 11501, 11365, 11531, 11403, 11555, 11189, 11715, 11359, 11537, 11439, 11329, 11495, 11307, 11457, 11635, 11303, 11319, 11587, 11617, 11553, 11411, 11527, 11517]",0.7405626060948993
