n_classifiers,n_nodes,accuracy
5,"[7, 7, 11, 7, 7]",0.7377049180327869
10,"[7, 33, 11, 11, 11, 7, 7, 33, 7, 7]",0.6721311475409836
25,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.639344262295082
50,"[11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 15, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7]",0.639344262295082
75,"[33, 7, 11, 27, 11, 7, 7, 11, 7, 33, 7, 7, 13, 7, 13, 7, 7, 13, 7, 15, 7, 13, 7, 7, 7, 11, 15, 7, 7, 11, 13, 13, 7, 7, 7, 7, 11, 7, 11, 9, 11, 11, 7, 7, 33, 7, 11, 7, 11, 11, 19, 7, 7, 11, 7, 33, 11, 15, 7, 11, 7, 7, 11, 7, 7, 13, 7, 21, 7, 7, 33, 11, 7, 7, 7]",0.7049180327868853
100,"[15, 7, 7, 15, 7, 33, 13, 9, 7, 7, 11, 7, 7, 7, 11, 13, 21, 7, 7, 7, 11, 11, 7, 7, 11, 11, 7, 7, 11, 11, 33, 7, 7, 15, 7, 7, 33, 7, 33, 7, 33, 11, 15, 7, 13, 27, 33, 7, 11, 33, 7, 13, 19, 13, 7, 7, 7, 7, 7, 13, 7, 7, 11, 7, 11, 11, 11, 13, 7, 7, 11, 13, 9, 11, 11, 11, 7, 7, 7, 7, 7, 7, 7, 33, 7, 7, 7, 11, 7, 11, 7, 7, 33, 7, 15, 7, 7, 11, 7, 11]",0.7049180327868853
5,"[7, 15, 13, 7, 7]",0.6721311475409836
10,"[7, 7, 7, 7, 15, 7, 7, 7, 7, 15]",0.7540983606557377
25,"[11, 7, 11, 7, 11, 7, 11, 11, 11, 15, 11, 15, 7, 11, 11, 7, 15, 7, 7, 11, 11, 11, 11, 11, 7]",0.4918032786885246
50,"[7, 7, 15, 15, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 15, 7, 7, 7, 7, 7, 7, 11, 7, 15, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7]",0.6557377049180327
75,"[15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 15, 15, 11, 15, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 11, 7, 31, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 11]",0.7540983606557377
100,"[7, 7, 7, 15, 11, 11, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 15, 7, 15, 7, 7, 7, 15, 7, 7, 15, 31, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 15, 7, 15, 7, 7, 7, 7, 15, 7, 7, 7, 7, 15, 7, 7, 11, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7]",0.7540983606557377
5,"[15, 7, 31, 15, 23]",0.7868852459016393
10,"[91, 43, 7, 15, 15, 11, 27, 11, 27, 47]",0.7049180327868853
25,"[109, 55, 111, 55, 11, 7, 55, 55, 55, 7, 11, 25, 57, 77, 13, 77, 25, 55, 55, 55, 7, 25, 55, 7, 7]",0.6885245901639344
50,"[15, 23, 7, 31, 17, 7, 15, 17, 23, 23, 27, 7, 23, 27, 31, 35, 15, 15, 7, 15, 47, 15, 15, 15, 15, 29, 23, 23, 17, 31, 7, 23, 75, 7, 43, 17, 19, 27, 39, 127, 7, 23, 7, 15, 23, 7, 27, 17, 29, 7]",0.819672131147541
75,"[27, 29, 7, 23, 23, 15, 253, 31, 15, 7, 23, 17, 27, 15, 43, 31, 23, 15, 7, 15, 127, 47, 7, 23, 31, 15, 15, 17, 31, 15, 15, 7, 17, 17, 15, 31, 19, 75, 7, 31, 15, 47, 7, 7, 27, 31, 7, 27, 15, 7, 223, 31, 23, 15, 23, 47, 31, 75, 11, 17, 27, 7, 27, 23, 75, 39, 7, 23, 23, 15, 15, 7, 15, 127, 15]",0.8524590163934426
100,"[7, 27, 19, 15, 15, 7, 15, 23, 31, 17, 17, 19, 31, 17, 15, 15, 15, 15, 15, 23, 23, 23, 7, 31, 31, 7, 23, 7, 15, 47, 27, 17, 31, 15, 31, 47, 43, 15, 23, 7, 17, 7, 7, 7, 31, 27, 27, 7, 7, 223, 27, 7, 15, 15, 7, 15, 23, 253, 29, 29, 27, 7, 7, 11, 27, 23, 15, 23, 15, 47, 15, 127, 7, 31, 39, 75, 31, 75, 27, 31, 27, 15, 23, 23, 31, 15, 127, 15, 7, 23, 17, 23, 23, 17, 75, 23, 127, 23, 75, 35]",0.8524590163934426
5,"[7, 15, 15, 11, 7]",0.7213114754098361
10,"[11, 7, 7, 7, 11, 7, 11, 7, 7, 7]",0.7049180327868853
25,"[11, 31, 7, 31, 11, 11, 15, 11, 15, 11, 15, 15, 7, 31, 7, 11, 31, 11, 15, 15, 7, 15, 15, 15, 7]",0.7049180327868853
50,"[15, 11, 11, 11, 15, 15, 31, 15, 11, 11, 15, 11, 7, 31, 15, 15, 15, 11, 15, 15, 15, 7, 15, 7, 11, 31, 11, 11, 15, 11, 15, 11, 11, 11, 11, 15, 15, 15, 15, 11, 15, 7, 7, 15, 15, 7, 31, 15, 7, 15]",0.7213114754098361
