n_classifiers,n_nodes,accuracy
5,"[13, 11, 11, 9, 11]",0.8032786885245902
10,"[11, 13, 11, 9, 9, 11, 7, 13, 7, 9]",0.819672131147541
25,"[7, 11, 9, 11, 11, 9, 9, 17, 9, 11, 11, 13, 9, 11, 13, 11, 9, 9, 13, 11, 9, 9, 11, 15, 9]",0.8524590163934426
50,"[11, 9, 11, 11, 11, 11, 11, 9, 11, 11, 9, 9, 13, 11, 13, 9, 11, 9, 11, 5, 15, 11, 13, 13, 11, 11, 9, 9, 9, 9, 11, 9, 9, 13, 9, 11, 13, 11, 7, 13, 11, 11, 9, 13, 5, 9, 13, 11, 11, 9]",0.8524590163934426
75,"[11, 11, 15, 11, 7, 11, 7, 9, 11, 11, 11, 13, 9, 11, 13, 9, 9, 9, 11, 9, 9, 9, 9, 11, 9, 11, 11, 11, 9, 9, 7, 9, 9, 9, 7, 9, 9, 15, 13, 11, 11, 11, 9, 7, 7, 5, 11, 13, 11, 11, 9, 11, 7, 9, 13, 7, 7, 11, 9, 11, 7, 11, 15, 9, 11, 13, 15, 13, 13, 9, 11, 11, 9, 11, 11]",0.9016393442622951
100,"[7, 13, 13, 9, 11, 9, 9, 9, 9, 9, 9, 9, 11, 9, 13, 9, 7, 9, 11, 11, 11, 9, 11, 13, 9, 7, 11, 11, 13, 13, 9, 9, 7, 7, 13, 7, 9, 9, 9, 11, 11, 11, 13, 9, 7, 11, 13, 9, 15, 11, 13, 9, 9, 11, 13, 9, 7, 11, 13, 13, 11, 13, 9, 11, 9, 7, 11, 9, 13, 5, 7, 11, 9, 11, 9, 9, 11, 11, 9, 11, 9, 9, 9, 11, 9, 7, 9, 11, 9, 13, 11, 11, 9, 9, 7, 9, 7, 7, 9, 11]",0.8852459016393442
5,"[11, 13, 9, 9, 13]",0.7377049180327869
10,"[11, 7, 11, 11, 11, 11, 9, 11, 9, 11]",0.7704918032786885
25,"[9, 9, 9, 7, 9, 13, 15, 11, 13, 11, 9, 9, 11, 9, 13, 9, 13, 13, 11, 11, 11, 11, 11, 11, 7]",0.8524590163934426
50,"[11, 11, 11, 11, 11, 11, 13, 7, 9, 11, 9, 11, 9, 9, 9, 13, 9, 9, 11, 7, 13, 9, 7, 9, 13, 11, 11, 7, 11, 7, 7, 11, 9, 13, 11, 13, 9, 11, 13, 9, 9, 9, 13, 13, 9, 13, 13, 9, 13, 15]",0.8852459016393442
