n_classifiers,n_nodes,accuracy
5,"[11, 7, 7, 7, 11]",0.7163982911600394
10,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.7163982911600394
25,"[7, 7, 7, 7, 7, 7, 17, 9, 7, 9, 9, 9, 7, 7, 7, 7, 33, 9, 13, 7, 7, 9, 11, 9, 9]",0.710483075911929
50,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7]",0.7157410450213605
75,"[25, 15, 11, 7, 13, 15, 3, 7, 11, 7, 7, 11, 7, 15, 11, 15, 7, 7, 25, 11, 7, 13, 31, 11, 13, 7, 15, 15, 7, 7, 13, 11, 7, 17, 7, 25, 11, 15, 13, 7, 7, 7, 7, 7, 17, 7, 7, 11, 7, 15, 7, 7, 13, 7, 11, 13, 31, 15, 11, 7, 7, 7, 13, 7, 15, 7, 7, 17, 11, 11, 15, 15, 13, 15, 7]",0.7157410450213605
100,"[15, 7, 13, 7, 7, 7, 7, 13, 13, 13, 7, 7, 13, 7, 13, 7, 7, 19, 13, 15, 13, 7, 7, 9, 15, 7, 7, 7, 7, 11, 7, 7, 7, 9, 13, 7, 7, 13, 7, 7, 7, 7, 9, 13, 7, 7, 13, 13, 7, 7, 7, 7, 7, 7, 11, 9, 7, 13, 9, 9, 13, 13, 7, 7, 13, 13, 7, 21, 7, 13, 7, 19, 7, 9, 7, 11, 19, 7, 11, 7, 7, 13, 11, 7, 7, 13, 7, 7, 13, 13, 7, 11, 7, 7, 7, 9, 13, 7, 7, 7]",0.70982582977325
5,"[13, 29, 7, 7, 13]",0.7328294446270128
10,"[11, 7, 7, 7, 7, 11, 7, 11, 7, 7]",0.7108116989812685
25,"[7, 7, 7, 7, 13, 29, 7, 7, 13, 7, 13, 7, 13, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 13, 13]",0.7325008215576734
50,"[29, 15, 7, 13, 7, 7, 7, 7, 7, 7, 13, 7, 7, 7, 7, 13, 7, 13, 7, 7, 7, 7, 7, 7, 7, 13, 7, 13, 13, 7, 13, 7, 7, 13, 13, 7, 13, 13, 13, 13, 7, 13, 7, 13, 7, 7, 7, 7, 13, 7]",0.7321721984883339
75,"[13, 7, 13, 7, 13, 7, 7, 7, 7, 7, 7, 7, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 13, 13, 7, 7, 7, 7, 7, 13, 7, 13, 7, 9, 13, 7, 29, 7, 13, 7, 13, 7, 7, 13, 7, 7, 7, 13, 7, 7, 13, 7, 15, 15, 13, 7, 13, 7, 13, 13, 7, 13, 13, 13, 13, 13, 13, 7, 13, 7, 7, 29, 7, 7, 13]",0.7321721984883339
100,"[7, 7, 7, 7, 13, 13, 13, 7, 13, 7, 9, 13, 7, 13, 13, 7, 13, 7, 7, 13, 7, 13, 7, 13, 29, 7, 13, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 13, 7, 29, 13, 7, 13, 7, 7, 7, 7, 13, 13, 13, 13, 13, 13, 7, 7, 13, 7, 7, 7, 15, 7, 7, 7, 13, 7, 13, 7, 7, 7, 13, 7, 7, 7, 13, 7, 7, 13, 13, 7, 7, 13, 7, 7, 7, 13, 7, 29, 13, 7, 7, 7, 7, 7, 13, 7, 13]",0.7321721984883339
5,"[23, 7, 11, 7, 7]",0.7108116989812685
10,"[15, 7, 15, 5, 7, 15, 13, 15, 7, 7]",0.7180414065067368
25,"[5, 7, 15, 7, 9, 15, 7, 7, 7, 9, 15, 19, 15, 7, 15, 7, 21, 15, 9, 7, 15, 11, 15, 7, 7]",0.7200131449227736
50,"[15, 13, 15, 7, 7, 11, 9, 17, 17, 11, 21, 13, 15, 7, 21, 29, 7, 7, 7, 15, 15, 15, 7, 13, 7, 9, 7, 15, 15, 13, 15, 11, 49, 13, 9, 15, 15, 15, 11, 15, 15, 7, 31, 15, 15, 11, 7, 15, 7, 7]",0.7275714755175814
75,"[17, 15, 15, 5, 11, 7, 15, 15, 9, 7, 9, 13, 9, 7, 15, 7, 21, 7, 19, 7, 15, 7, 7, 7, 7, 7, 13, 9, 17, 9, 15, 21, 11, 9, 7, 7, 11, 7, 15, 15, 7, 27, 11, 9, 19, 7, 17, 7, 11, 7, 13, 13, 9, 15, 15, 7, 15, 9, 7, 9, 11, 7, 19, 19, 7, 7, 7, 7, 15, 21, 15, 7, 5, 15, 7]",0.7328294446270128
100,"[29, 13, 13, 15, 7, 11, 7, 7, 15, 7, 7, 15, 15, 15, 9, 15, 15, 9, 7, 7, 15, 19, 7, 7, 7, 13, 7, 15, 13, 7, 7, 11, 7, 15, 15, 15, 7, 15, 7, 15, 9, 11, 7, 7, 15, 15, 15, 7, 49, 13, 15, 7, 7, 13, 21, 15, 21, 7, 11, 7, 15, 21, 15, 7, 15, 13, 7, 11, 7, 13, 13, 7, 7, 7, 11, 7, 7, 17, 7, 15, 15, 15, 7, 9, 17, 17, 11, 13, 31, 15, 7, 13, 17, 11, 15, 15, 15, 21, 7, 15]",0.7269142293789024
5,"[9, 9, 9, 7, 9]",0.7150837988826816
10,"[7, 7, 7, 7, 7, 7, 13, 7, 11, 15]",0.7108116989812685
25,"[7, 7, 11, 7, 7, 7, 7, 7, 11, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 15, 15, 7, 15, 7, 7]",0.7108116989812685
50,"[7, 7, 7, 7, 15, 15, 7, 15, 11, 15, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 11, 7, 7, 7, 7, 7, 11, 7, 7, 7, 9, 11, 9, 7, 15, 7, 11, 15, 3, 7, 7, 15, 7, 7, 7]",0.7108116989812685
75,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 15, 21, 11, 15, 15, 7, 7, 15, 9, 7, 15, 7, 15, 7, 7, 7, 15, 7, 11, 7, 7, 7, 7, 7, 7, 7, 15, 7, 11, 7, 7, 7, 3, 7, 7, 7, 9, 7, 7, 15, 15, 7, 11, 11, 7, 7]",0.7108116989812685
