n_classifiers,n_nodes,accuracy
5,"[977, 995, 1003, 1023, 945]",0.7459743674005915
10,"[959, 941, 927, 991, 947, 935, 911, 997, 963, 1005]",0.7515609595793624
25,"[921, 969, 925, 991, 963, 905, 1029, 969, 993, 969, 917, 991, 997, 971, 927, 1009, 997, 981, 959, 1043, 971, 969, 983, 969, 955]",0.7679921130463359
50,"[959, 947, 943, 937, 969, 947, 961, 923, 965, 935, 895, 953, 949, 961, 951, 993, 999, 953, 963, 979, 977, 971, 1003, 963, 979, 983, 975, 993, 975, 1041, 977, 947, 937, 1015, 1037, 993, 1009, 973, 929, 1029, 953, 963, 939, 1047, 1009, 1041, 985, 977, 975, 991]",0.7627341439369044
75,"[993, 971, 979, 1041, 1043, 995, 929, 1003, 989, 993, 985, 985, 933, 939, 1017, 985, 1013, 951, 1025, 885, 869, 943, 921, 995, 979, 1011, 977, 927, 991, 999, 939, 937, 995, 961, 981, 1019, 931, 1039, 1023, 1005, 947, 943, 913, 955, 965, 993, 921, 939, 939, 959, 1009, 1015, 969, 971, 929, 983, 995, 1057, 991, 981, 971, 941, 939, 987, 955, 971, 963, 969, 983, 937, 923, 1025, 1015, 1021, 973]",0.7653631284916201
100,"[991, 979, 939, 1013, 953, 997, 989, 957, 919, 987, 931, 977, 957, 945, 1017, 971, 967, 1013, 983, 923, 963, 969, 911, 983, 1011, 967, 963, 977, 949, 921, 937, 983, 939, 969, 1029, 913, 917, 973, 973, 997, 973, 941, 999, 995, 1005, 951, 997, 925, 933, 965, 925, 1011, 953, 971, 997, 955, 999, 945, 1041, 951, 963, 1003, 1009, 933, 969, 967, 987, 977, 937, 959, 955, 985, 941, 955, 983, 967, 955, 923, 983, 943, 969, 1015, 997, 945, 947, 975, 919, 959, 937, 1005, 987, 1001, 961, 959, 947, 939, 995, 959, 1045, 1035]",0.7696352283930332
5,"[975, 1007, 937, 949, 941]",0.7466316135392704
10,"[1015, 987, 961, 993, 945, 951, 969, 977, 987, 1001]",0.7587906671048308
25,"[1043, 975, 967, 1003, 941, 1017, 991, 1013, 973, 951, 1027, 951, 977, 979, 921, 903, 1003, 923, 967, 1005, 1015, 953, 999, 967, 949]",0.7679921130463359
50,"[985, 951, 931, 947, 917, 895, 963, 953, 921, 947, 1021, 1025, 953, 1013, 947, 943, 989, 929, 985, 979, 953, 971, 1033, 1015, 983, 937, 965, 969, 937, 955, 995, 975, 939, 967, 955, 973, 1003, 901, 995, 963, 981, 949, 961, 959, 1029, 991, 971, 961, 1029, 989]",0.7624055208675649
75,"[985, 969, 967, 939, 1003, 899, 995, 995, 971, 971, 971, 975, 1019, 971, 993, 955, 975, 957, 1011, 925, 987, 927, 961, 935, 953, 881, 1015, 997, 971, 935, 1041, 951, 993, 993, 1025, 975, 939, 937, 955, 999, 971, 945, 927, 973, 963, 981, 937, 997, 1003, 953, 999, 961, 987, 981, 1047, 1047, 965, 951, 983, 1023, 951, 957, 1007, 965, 999, 935, 979, 953, 1019, 959, 941, 951, 981, 1023, 965]",0.7584620440354913
100,"[1019, 1007, 963, 967, 1003, 985, 943, 933, 1003, 991, 943, 953, 961, 985, 993, 961, 973, 995, 919, 1029, 955, 989, 991, 953, 961, 951, 955, 949, 965, 907, 959, 927, 907, 989, 983, 977, 1019, 1019, 911, 1007, 939, 1001, 915, 939, 1009, 967, 921, 937, 979, 995, 1009, 935, 953, 989, 983, 969, 961, 965, 979, 981, 1015, 989, 933, 1019, 981, 943, 903, 983, 1003, 975, 991, 989, 973, 927, 921, 977, 951, 995, 959, 913, 987, 965, 939, 973, 987, 927, 969, 957, 891, 933, 935, 945, 981, 991, 943, 943, 979, 1003, 963, 1015]",0.7706210976010516
5,"[925, 961, 919, 1065, 971]",0.7436740059152153
10,"[963, 965, 1007, 991, 1037, 997, 905, 917, 979, 935]",0.7492605980939862
25,"[1045, 917, 929, 963, 953, 981, 985, 901, 991, 973, 949, 961, 1009, 955, 975, 995, 997, 977, 1009, 941, 973, 1013, 1033, 1011, 973]",0.7647058823529411
50,"[957, 1013, 1007, 987, 1003, 909, 985, 907, 935, 997, 999, 1011, 967, 929, 1015, 901, 921, 957, 979, 989, 925, 889, 957, 1003, 931, 979, 967, 991, 971, 985, 951, 985, 993, 985, 985, 1021, 977, 973, 959, 969, 947, 969, 945, 941, 915, 955, 1005, 985, 943, 927]",0.7614196516595465
75,"[971, 1037, 983, 941, 995, 957, 955, 955, 925, 977, 971, 965, 993, 1065, 989, 995, 1003, 1043, 977, 973, 997, 951, 937, 1009, 1001, 961, 1017, 955, 957, 1003, 989, 1013, 1023, 939, 939, 967, 941, 923, 1023, 947, 947, 941, 965, 963, 939, 1003, 1019, 969, 983, 1017, 989, 999, 999, 941, 951, 917, 1005, 979, 937, 1023, 979, 997, 957, 1009, 987, 979, 957, 989, 1027, 953, 985, 1037, 949, 961, 963]",0.7627341439369044
100,"[1063, 971, 969, 993, 955, 985, 957, 957, 967, 1001, 963, 969, 949, 977, 1055, 991, 1027, 933, 985, 989, 995, 989, 1007, 1015, 981, 989, 977, 971, 967, 963, 983, 933, 935, 935, 1001, 959, 981, 963, 917, 921, 963, 941, 1009, 939, 971, 1017, 919, 953, 995, 969, 1021, 1021, 955, 1013, 977, 927, 1029, 997, 989, 1027, 997, 989, 929, 997, 1039, 1055, 1013, 999, 969, 1005, 959, 993, 973, 989, 965, 955, 983, 1011, 957, 937, 959, 973, 989, 969, 993, 905, 923, 977, 991, 1059, 997, 951, 989, 975, 929, 985, 1005, 949, 987, 1015]",0.7683207361156753
5,"[987, 961, 999, 913, 979]",0.7407163982911601
10,"[977, 1007, 957, 915, 987, 1021, 993, 907, 933, 985]",0.7509037134406835
25,"[897, 985, 959, 969, 1011, 907, 921, 943, 969, 959, 969, 921, 1055, 953, 953, 941, 953, 935, 949, 907, 925, 985, 963, 905, 1015]",0.7614196516595465
50,"[977, 959, 989, 1003, 981, 955, 987, 939, 985, 965, 987, 951, 1007, 963, 967, 955, 977, 1029, 947, 949, 959, 981, 933, 997, 955, 995, 957, 975, 967, 951, 913, 955, 953, 971, 993, 981, 961, 941, 951, 891, 967, 911, 935, 953, 1009, 959, 937, 1027, 961, 1011]",0.761091028590207
75,"[977, 971, 957, 959, 993, 943, 953, 987, 949, 985, 989, 977, 991, 927, 911, 979, 997, 965, 965, 987, 931, 1021, 1047, 975, 983, 1003, 1061, 1003, 955, 971, 969, 927, 999, 971, 953, 941, 959, 943, 951, 1039, 937, 993, 957, 977, 955, 945, 963, 995, 957, 963, 941, 1019, 1001, 971, 1005, 935, 975, 949, 1031, 955, 985, 969, 987, 995, 921, 953, 1025, 975, 953, 979, 985, 949, 1013, 981, 923]",0.7679921130463359
