n_classifiers,n_nodes,accuracy
5,"[15, 7, 7, 15, 15]",0.7666666666666667
10,"[7, 7, 15, 7, 11, 7, 7, 7, 15, 11]",0.65
25,"[7, 7, 15, 7, 15, 7, 15, 7, 7, 7, 11, 15, 7, 7, 7, 15, 15, 7, 15, 7, 7, 15, 7, 7, 15]",0.7666666666666667
50,"[15, 7, 7, 15, 15, 15, 7, 7, 15, 7, 15, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 15, 15, 15, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 15, 15, 7, 15, 7, 15]",0.7666666666666667
75,"[7, 15, 7, 7, 15, 7, 7, 7, 15, 7, 7, 15, 7, 7, 7, 15, 11, 15, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 15, 15, 15, 7, 15, 15, 7, 15, 7, 7, 7, 7, 15, 7, 7, 7]",0.7666666666666667
100,"[7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 15, 7, 15, 7, 7, 7, 7, 15, 15, 15, 7, 11, 7, 15, 7, 7, 7, 7, 15, 15, 7, 15, 15, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 11, 7, 7, 15, 7, 7, 15, 7, 15, 15, 7, 7, 7, 7, 7, 7, 7, 7, 15, 15, 7, 7, 15, 7, 15, 7, 7, 15, 7, 15, 15, 7, 15, 7, 7, 7, 7, 7, 7, 15, 7, 15, 7, 7, 7, 7, 15, 7, 7, 15, 7]",0.7666666666666667
5,"[23, 11, 7, 7, 15]",0.6833333333333333
10,"[7, 15, 7, 19, 35, 13, 7, 7, 7, 11]",0.7666666666666667
25,"[13, 7, 7, 27, 13, 7, 7, 11, 7, 13, 19, 7, 7, 11, 7, 7, 19, 7, 7, 19, 7, 7, 7, 11, 9]",0.7666666666666667
50,"[7, 11, 23, 11, 11, 11, 15, 15, 15, 31, 7, 15, 31, 11, 7, 11, 7, 7, 7, 15, 7, 11, 7, 15, 15, 11, 15, 7, 23, 15, 11, 7, 7, 7, 7, 15, 23, 15, 7, 91, 11, 23, 23, 7, 7, 15, 7, 7, 7, 7]",0.6833333333333333
75,"[7, 7, 7, 7, 15, 11, 23, 7, 7, 15, 23, 91, 11, 7, 11, 15, 19, 15, 11, 15, 7, 15, 7, 11, 7, 23, 7, 7, 15, 7, 7, 7, 11, 7, 7, 15, 11, 11, 7, 7, 23, 11, 7, 7, 11, 15, 7, 7, 7, 23, 11, 15, 7, 7, 7, 11, 31, 15, 23, 15, 7, 7, 7, 11, 7, 7, 23, 31, 15, 23, 11, 15, 7, 31, 23]",0.6833333333333333
100,"[13, 11, 7, 7, 7, 7, 7, 9, 7, 7, 19, 13, 7, 9, 15, 11, 19, 35, 27, 15, 7, 7, 7, 35, 7, 11, 7, 19, 7, 13, 7, 13, 13, 11, 13, 7, 13, 7, 7, 11, 7, 7, 7, 13, 7, 7, 11, 13, 9, 7, 13, 19, 51, 7, 13, 7, 7, 27, 11, 15, 7, 7, 9, 27, 11, 9, 7, 7, 11, 13, 7, 15, 11, 19, 13, 13, 11, 7, 7, 7, 11, 7, 11, 11, 13, 7, 9, 15, 11, 27, 15, 7, 7, 19, 11, 9, 11, 51, 7, 7]",0.7666666666666667
5,"[7, 7, 11, 11, 7]",0.75
10,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
25,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.6
50,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.6
75,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.6
100,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.6
5,"[7, 11, 7, 7, 19]",0.7833333333333333
10,"[7, 7, 7, 7, 7, 7, 11, 7, 7, 7]",0.7833333333333333
25,"[7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 15, 7, 15, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
50,"[11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 15, 7, 7, 15, 15, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.7666666666666667
