n_classifiers,n_nodes,accuracy
5,"[15, 13, 17, 17, 15]",0.5
10,"[13, 15, 13, 15, 11, 13, 11, 11, 11, 11]",0.7
25,"[13, 15, 13, 13, 13, 9, 11, 11, 15, 13, 15, 13, 13, 13, 15, 15, 9, 11, 15, 15, 15, 11, 9, 9, 13]",0.6
50,"[17, 17, 13, 15, 13, 13, 19, 17, 15, 15, 11, 15, 15, 13, 15, 13, 17, 17, 11, 11, 13, 17, 13, 17, 15, 11, 15, 11, 11, 15, 15, 13, 9, 13, 13, 13, 11, 15, 15, 11, 11, 13, 13, 15, 17, 15, 15, 17, 15, 13]",0.6833333333333333
75,"[15, 15, 19, 15, 17, 13, 15, 11, 15, 13, 13, 11, 13, 11, 11, 15, 13, 13, 11, 11, 11, 19, 15, 15, 15, 15, 17, 13, 15, 13, 11, 15, 11, 13, 13, 11, 15, 15, 9, 15, 13, 9, 13, 15, 13, 19, 17, 11, 17, 13, 11, 11, 15, 13, 15, 11, 13, 13, 17, 11, 11, 11, 17, 13, 15, 11, 17, 13, 13, 9, 11, 13, 13, 13, 11]",0.55
100,"[15, 15, 9, 15, 15, 13, 9, 15, 13, 9, 11, 13, 11, 15, 11, 13, 13, 17, 17, 15, 15, 17, 11, 13, 13, 13, 11, 11, 9, 9, 13, 15, 15, 11, 13, 13, 9, 13, 9, 13, 15, 13, 15, 11, 11, 13, 19, 11, 15, 13, 15, 15, 11, 17, 11, 13, 11, 13, 19, 11, 15, 13, 15, 13, 13, 13, 15, 13, 15, 13, 17, 15, 15, 13, 13, 17, 9, 15, 17, 13, 15, 13, 15, 13, 15, 9, 13, 15, 11, 17, 13, 9, 13, 13, 13, 17, 11, 11, 13, 17]",0.6
5,"[13, 15, 15, 13, 15]",0.4666666666666667
10,"[13, 13, 11, 15, 17, 17, 11, 13, 13, 15]",0.5833333333333334
25,"[13, 11, 13, 13, 13, 13, 15, 17, 11, 15, 9, 15, 13, 11, 9, 13, 11, 13, 17, 15, 15, 11, 11, 15, 13]",0.5833333333333334
50,"[17, 15, 15, 15, 11, 11, 11, 11, 13, 11, 13, 17, 17, 13, 11, 11, 15, 13, 13, 11, 13, 13, 13, 13, 17, 11, 15, 15, 15, 13, 11, 17, 13, 13, 11, 15, 11, 11, 15, 13, 15, 11, 11, 17, 15, 9, 15, 11, 15, 15]",0.6
